Fri Dec 31 15:50:51 2021, 00:14:04, Recent State, 48, 21608, 12196, -67, 0, 38.84, 19.395, 0, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:52 2021, 00:14:05, Recent State, 48, 21608, 12196, -67, 0, 38.84, 19.396, 0, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:54 2021, 00:14:06, Recent State, 48, 21654, 12241, -66, 0, 38.84, 19.394, 0, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:55 2021, 00:14:08, Recent State, 48, 21654, 12241, -66, 0, 38.84, 19.396, 0, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:56 2021, 00:14:09, Recent State, 48, 21654, 12241, -66, 0, 38.84, 19.395, 0, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:57 2021, 00:14:10, Recent State, 48, 21648, 12343, -64, 0, 38.84, 19.396, 0, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 0010-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Fri Dec 31 15:50:58 2021, 00:14:11, Recent State, 48, 21561, 12319, -2, 0, 38.83, 19.389, 1, 17.9, 1, 17.467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS]  26, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:00 2021, 00:14:13, Recent State, 48, 20059, 11544, -29, 0, 38.83, 19.388, 1, 17.9, 1, 17.467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS]  17, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:01 2021, 00:14:14, Recent State, 48, 24322, 23224, -91, 0, 38.82, 19.388, 1, 17.9, 1, 17.467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS]  8, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:02 2021, 00:14:15, Recent State, 48, 19633, 12967, 0, 0, 38.84, 19.395, 1, 17.93, 1, 17.473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
Fri Dec 31 15:51:04 2021, 00:14:16, Recent State, 48, 21711, 11662, 8, 0, 38.84, 19.395, 1, 17.93, 1, 17.474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ==> dec 14709-24294       ==> acc 21463-24332, OFF, OFF, 0: 0110-1110 | 0000-0111 | 1: 1111-1111 | 1110-1111, 
