Thu Dec 30 20:39:12 2021, 97430, Recent State, 71, 0, 0, 0, 1, 35.63, 14.918, 1, 236.14, 0, 11.478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:13 2021, 98749, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:15 2021, 99949, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:16 2021, 101149, Recent State, 71, 0, 0, 0, 1, 35.62, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:17 2021, 102338, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:18 2021, 103533, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.18, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:19 2021, 104719, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:21 2021, 106221, Recent State, 71, 0, 0, 0, 1, 35.64, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:22 2021, 107409, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:23 2021, 108599, Recent State, 71, 0, 0, 0, 1, 35.63, 14.921, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
Thu Dec 30 20:39:24 2021, 109789, Recent State, 71, 0, 0, 0, 1, 35.63, 14.922, 1, 236.17, 0, 11.479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, OFF, fwd, false, DRIVER_RUNNING, SPEED, 0, 0, [STATUS] ok., OFF, OFF, 0: 1100-1110 | 0000-0111 | 1: 1111-1111 | 1111-1111, 
